generated_utc,cycle_utc,valid_utc,lead_h,wave_source,site,hs_m,hs_basis,depth_m,hs_5m_m,hs_window_m,hs_offshore_m,period_s,from_deg,build_sha
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-26T12:00:00Z,0,spectrum,buoy,0.945,buoy,,,,0.945,11.1,210.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-26T12:00:00Z,0,spectrum,coronado_north,1.31,breaking,2.77,1.184,0.827,0.945,12.7,215.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-26T12:00:00Z,0,spectrum,coronado_center,0.753,breaking,1.71,0.605,0.829,0.945,11.9,225.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-26T12:00:00Z,0,spectrum,coronado_south,0.544,breaking,1.2,0.41,0.82,0.945,10.4,216.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-26T15:00:00Z,3,spectrum,buoy,0.957,buoy,,,,0.957,11.9,209.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-26T15:00:00Z,3,spectrum,coronado_north,1.306,breaking,3.09,1.194,0.842,0.957,12.7,214.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-26T15:00:00Z,3,spectrum,coronado_center,0.74,breaking,1.83,0.602,0.844,0.957,11.9,225.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-26T15:00:00Z,3,spectrum,coronado_south,0.532,breaking,1.37,0.412,0.83,0.957,10.4,215.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-26T18:00:00Z,6,spectrum,buoy,1.0,buoy,,,,1.0,13.6,206.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-26T18:00:00Z,6,spectrum,coronado_north,1.35,breaking,3.06,1.238,0.874,1.0,13.6,213.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-26T18:00:00Z,6,spectrum,coronado_center,0.743,breaking,1.79,0.604,0.874,1.0,11.9,224.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-26T18:00:00Z,6,spectrum,coronado_south,0.547,breaking,1.4,0.427,0.857,1.0,10.4,220.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-26T21:00:00Z,9,spectrum,buoy,1.048,buoy,,,,1.048,13.6,204.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-26T21:00:00Z,9,spectrum,coronado_north,1.382,breaking,2.78,1.26,0.9,1.048,13.6,213.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-26T21:00:00Z,9,spectrum,coronado_center,0.746,breaking,1.7,0.594,0.9,1.048,13.6,224.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-26T21:00:00Z,9,spectrum,coronado_south,0.592,breaking,1.26,0.447,0.879,1.048,12.7,218.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-27T00:00:00Z,12,spectrum,buoy,1.07,buoy,,,,1.07,12.7,205.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-27T00:00:00Z,12,spectrum,coronado_north,1.342,breaking,2.7,1.215,0.894,1.07,13.6,213.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-27T00:00:00Z,12,spectrum,coronado_center,0.722,breaking,1.62,0.573,0.896,1.07,11.9,224.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-27T00:00:00Z,12,spectrum,coronado_south,0.603,breaking,1.28,0.457,0.875,1.07,12.7,217.0,3a56233
