period_s,freq_hz,near_from_deg,near_width_deg,off_from_deg,gain,diff_off_from_deg,diff_gain,friction,diff_friction,status,blocker,exit_depth_m,path_km
40.000,0.0250,124.15,0.5,48.00,0,48.00,0,0.83084,0.83084,land,Coronado shore or shoal,0.3,0.33
40.000,0.0250,124.65,0.5,47.68,0,47.68,0,0.82809,0.82809,land,Coronado shore or shoal,0.3,0.34
40.000,0.0250,125.15,0.5,48.43,0,48.43,0,0.82618,0.82618,land,Coronado shore or shoal,0.2,0.34
40.000,0.0250,125.65,0.5,48.13,0,48.13,0,0.82545,0.82545,land,Coronado shore or shoal,0.3,0.34
40.000,0.0250,126.15,0.5,46.08,0,46.08,0,0.82846,0.82846,land,Coronado shore or shoal,0.3,0.35
40.000,0.0250,126.65,0.5,45.65,0,45.65,0,0.83257,0.83257,land,Coronado shore or shoal,0.3,0.35
40.000,0.0250,127.15,0.5,51.31,0,51.31,0,0.83596,0.83596,land,Coronado shore or shoal,0.3,0.36
40.000,0.0250,127.65,0.5,56.22,0,56.22,0,0.83048,0.83048,land,Coronado shore or shoal,0.3,0.36
40.000,0.0250,128.15,0.5,53.53,0,53.53,0,0.82108,0.82108,land,Coronado shore or shoal,0.3,0.36
40.000,0.0250,128.65,0.5,49.53,0,49.53,0,0.81227,0.81227,land,Coronado shore or shoal,0.2,0.37
40.000,0.0250,129.15,0.5,49.41,0,49.41,0,0.82735,0.82735,land,Coronado shore or shoal,0.3,0.37
40.000,0.0250,129.65,0.5,46.19,0,46.19,0,0.81862,0.81862,land,Coronado shore or shoal,0.2,0.37
40.000,0.0250,130.15,0.5,43.33,0,43.33,0,0.80925,0.80925,land,Coronado shore or shoal,0.2,0.38
40.000,0.0250,130.65,0.5,43.96,0,43.96,0,0.82793,0.82793,land,Coronado shore or shoal,0.3,0.38
40.000,0.0250,131.15,0.5,42.59,0,42.59,0,0.82873,0.82873,land,Coronado shore or shoal,0.3,0.38
40.000,0.0250,131.65,0.5,42.73,0,42.73,0,0.83661,0.83661,land,Coronado shore or shoal,0.3,0.38
40.000,0.0250,132.15,0.5,45.28,0,45.28,0,0.82341,0.82341,land,Coronado shore or shoal,0.1,0.39
40.000,0.0250,132.65,0.5,50.05,0,50.05,0,0.82881,0.82881,land,Coronado shore or shoal,0.2,0.40
40.000,0.0250,133.15,0.5,49.39,0,49.39,0,0.82821,0.82821,land,Coronado shore or shoal,0.2,0.40
40.000,0.0250,133.65,0.5,47.41,0,47.41,0,0.82945,0.82945,land,Coronado shore or shoal,0.2,0.40
40.000,0.0250,134.15,0.5,47.02,0,47.02,0,0.83391,0.83391,land,Coronado shore or shoal,0.3,0.41
40.000,0.0250,134.65,0.5,49.82,0,49.82,0,0.83639,0.83639,land,Coronado shore or shoal,0.3,0.41
40.000,0.0250,135.15,0.5,52.10,0,52.10,0,0.81976,0.81976,land,Coronado shore or shoal,0.2,0.42
40.000,0.0250,135.65,0.5,57.69,0,57.69,0,0.82716,0.82716,land,Coronado shore or shoal,0.3,0.42
40.000,0.0250,136.15,0.5,51.84,0,51.84,0,0.80390,0.80390,land,Coronado shore or shoal,0.2,0.43
40.000,0.0250,136.65,0.5,48.69,0,48.69,0,0.79989,0.79989,land,Coronado shore or shoal,0.2,0.44
40.000,0.0250,137.15,0.5,45.33,0,45.33,0,0.81097,0.81097,land,Coronado shore or shoal,0.3,0.44
40.000,0.0250,137.65,0.5,43.61,0,43.61,0,0.82182,0.82182,land,Coronado shore or shoal,0.3,0.45
40.000,0.0250,138.15,0.5,48.35,0,48.35,0,0.81484,0.81484,land,Coronado shore or shoal,0.2,0.46
40.000,0.0250,138.65,0.5,43.25,0,43.25,0,0.82377,0.82377,land,Coronado shore or shoal,0.2,0.47
40.000,0.0250,139.15,0.5,48.25,0,48.25,0,0.83275,0.83275,land,Coronado shore or shoal,0.2,0.48
40.000,0.0250,139.65,0.5,50.98,0,50.98,0,0.82553,0.82553,land,Coronado shore or shoal,0.2,0.48
40.000,0.0250,140.15,0.5,49.96,0,49.96,0,0.81497,0.81497,land,Coronado shore or shoal,0.2,0.49
40.000,0.0250,140.65,0.5,50.31,0,50.31,0,0.80433,0.80433,land,Coronado shore or shoal,0.2,0.50
40.000,0.0250,141.15,0.5,47.17,0,47.17,0,0.81511,0.81511,land,Coronado shore or shoal,0.2,0.50
40.000,0.0250,141.65,0.5,44.42,0,44.42,0,0.81497,0.81497,land,Coronado shore or shoal,0.2,0.51
40.000,0.0250,142.15,0.5,52.16,0,52.16,0,0.81184,0.81184,land,Coronado shore or shoal,0.2,0.53
40.000,0.0250,142.65,0.5,53.71,0,53.71,0,0.80942,0.80942,land,Coronado shore or shoal,0.3,0.55
40.000,0.0250,143.15,0.5,48.33,0,48.33,0,0.80013,0.80013,land,Coronado shore or shoal,0.2,0.55
40.000,0.0250,143.65,0.5,51.76,0,51.76,0,0.81462,0.81462,land,Coronado shore or shoal,0.3,0.56
40.000,0.0250,144.15,0.5,52.50,0,52.50,0,0.80914,0.80914,land,Coronado shore or shoal,0.2,0.56
40.000,0.0250,144.65,0.5,53.51,0,53.51,0,0.81482,0.81482,land,Coronado shore or shoal,0.2,0.57
40.000,0.0250,145.15,0.5,53.76,0,53.76,0,0.81919,0.81919,land,Coronado shore or shoal,0.3,0.57
40.000,0.0250,145.65,0.5,48.44,0,48.44,0,0.79678,0.79678,land,Coronado shore or shoal,0.1,0.58
40.000,0.0250,146.15,0.5,52.87,0,52.87,0,0.81158,0.81158,land,Coronado shore or shoal,0.3,0.58
40.000,0.0250,146.65,0.5,57.52,0,57.52,0,0.80140,0.80140,land,Coronado shore or shoal,0.3,0.59
40.000,0.0250,147.15,0.5,50.13,0,50.13,0,0.81758,0.81758,land,Coronado shore or shoal,0.2,0.60
40.000,0.0250,147.65,0.5,46.12,0,46.12,0,0.81242,0.81242,land,Coronado shore or shoal,0.2,0.62
40.000,0.0250,148.15,0.5,50.84,0,50.84,0,0.82489,0.82489,land,Coronado shore or shoal,0.3,0.64
40.000,0.0250,148.65,0.5,47.93,0,47.93,0,0.81064,0.81064,land,Coronado shore or shoal,0.3,0.66
40.000,0.0250,149.15,0.5,39.81,0,39.81,0,0.80738,0.80738,land,Coronado shore or shoal,0.2,0.67
40.000,0.0250,149.65,0.5,47.41,0,47.41,0,0.80974,0.80974,land,Coronado shore or shoal,0.2,0.68
40.000,0.0250,150.15,0.5,54.58,0,54.58,0,0.82041,0.82041,land,Coronado shore or shoal,0.3,0.69
40.000,0.0250,150.65,0.5,58.16,0,58.16,0,0.81555,0.81555,land,Coronado shore or shoal,0.2,0.69
40.000,0.0250,151.15,0.5,58.39,0,58.39,0,0.82542,0.82542,land,Coronado shore or shoal,0.3,0.69
40.000,0.0250,151.65,0.5,62.44,0,62.44,0,0.81741,0.81741,land,Coronado shore or shoal,0.1,0.70
40.000,0.0250,152.15,0.5,65.44,0,65.44,0,0.81560,0.81560,land,Coronado shore or shoal,0.0,0.70
40.000,0.0250,152.65,0.5,56.37,0,56.37,0,0.83871,0.83871,land,Coronado shore or shoal,0.2,0.70
