wind_from_deg,fetch_km,closed
0,0.18,1
1,0.18,1
2,0.18,1
3,0.18,1
4,0.18,1
5,0.18,1
6,0.18,1
7,0.18,1
8,0.16,1
9,0.16,1
10,0.16,1
11,0.16,1
12,0.16,1
13,0.16,1
14,0.16,1
15,0.16,1
16,0.16,1
17,0.16,1
18,0.16,1
19,0.16,1
20,0.16,1
21,0.16,1
22,0.16,1
23,0.16,1
24,0.16,1
25,0.16,1
26,0.16,1
27,0.16,1
28,0.16,1
29,0.16,1
30,0.16,1
31,0.16,1
32,0.16,1
33,0.16,1
34,0.16,1
35,0.16,1
36,0.16,1
37,0.16,1
38,0.16,1
39,0.16,1
40,0.16,1
41,0.16,1
42,0.16,1
43,0.16,1
44,0.16,1
45,0.16,1
46,0.16,1
47,0.16,1
48,0.16,1
49,0.16,1
50,0.16,1
51,0.16,1
52,0.16,1
53,0.16,1
54,0.16,1
55,0.16,1
56,0.16,1
57,0.16,1
58,0.16,1
59,0.18,1
60,0.18,1
61,0.18,1
62,0.18,1
63,0.18,1
64,0.18,1
65,0.18,1
66,0.18,1
67,0.18,1
68,0.18,1
69,0.18,1
70,0.18,1
71,0.20,1
72,0.20,1
73,0.20,1
74,0.20,1
75,0.20,1
76,0.20,1
77,0.20,1
78,0.20,1
79,0.20,1
80,0.22,1
81,0.22,1
82,0.22,1
83,0.22,1
84,0.22,1
85,0.22,1
86,0.24,1
87,0.24,1
88,0.24,1
89,0.24,1
90,0.26,1
91,0.26,1
92,0.26,1
93,0.28,1
94,0.30,1
95,0.32,1
96,0.32,1
97,0.34,1
98,0.34,1
99,0.36,1
100,0.36,1
101,0.38,1
102,0.40,1
103,0.42,1
104,0.42,1
105,0.44,1
106,0.46,1
107,0.48,1
108,0.50,1
109,0.54,1
110,0.54,1
111,0.58,1
112,0.64,1
113,0.64,1
114,0.74,1
115,0.80,1
116,0.86,1
117,0.94,1
118,1.00,1
119,1.08,1
120,1.18,1
121,1.28,1
122,1.42,1
123,1.58,1
124,1.74,1
125,1.96,1
126,2.16,1
127,2.38,1
128,2.58,1
129,2.80,1
130,3.04,1
131,3.28,1
132,3.50,1
133,3.74,1
134,3.96,1
135,4.18,1
136,4.44,1
137,4.72,1
138,5.02,1
139,5.36,1
140,5.66,1
141,6.04,1
142,6.48,1
143,6.92,1
144,7.32,1
145,7.72,1
146,8.14,1
147,8.54,1
148,8.96,1
149,9.36,1
150,9.76,1
151,10.16,1
152,10.56,1
153,10.98,1
154,11.36,1
155,11.78,1
156,12.24,1
157,12.80,1
158,13.28,1
159,14.08,1
160,16.90,1
161,17.36,1
162,18.18,1
163,19.52,1
164,20.98,1
165,21.84,1
166,49.36,0
167,49.16,0
168,48.96,0
169,48.78,0
170,48.64,0
171,48.48,0
172,48.36,0
173,48.26,0
174,48.16,0
175,48.08,0
176,48.00,0
177,47.96,0
178,47.92,0
179,47.90,0
180,47.90,0
181,47.90,0
182,47.92,0
183,47.96,0
184,48.00,0
185,48.08,0
186,48.16,0
187,48.26,0
188,48.36,0
189,48.48,0
190,31.04,1
191,29.78,1
192,48.96,0
193,49.16,0
194,49.36,0
195,49.58,0
196,49.82,0
197,50.08,0
198,50.36,0
199,50.66,0
200,50.96,0
201,51.30,0
202,51.66,0
203,52.02,0
204,52.42,0
205,52.84,0
206,53.28,0
207,53.76,0
208,54.24,0
209,54.76,0
210,55.30,0
211,55.88,0
212,56.48,0
213,57.10,0
214,57.76,0
215,58.46,0
216,59.20,0
217,59.96,0
218,60.74,0
219,59.42,0
220,58.18,0
221,57.00,0
222,55.90,0
223,54.84,0
224,53.84,0
225,52.90,0
226,52.00,0
227,51.14,0
228,50.32,0
229,49.56,0
230,48.82,0
231,48.12,0
232,47.46,0
233,46.84,0
234,46.24,0
235,45.66,0
236,45.12,0
237,44.60,0
238,44.10,0
239,43.64,0
240,43.18,0
241,42.76,0
242,42.36,0
243,41.98,0
244,41.62,0
245,41.26,0
246,40.94,0
247,40.64,0
248,40.34,0
249,40.06,0
250,39.80,0
251,39.56,0
252,5.08,1
253,4.96,1
254,4.94,1
255,4.94,1
256,4.90,1
257,4.78,1
258,4.78,1
259,4.78,1
260,4.78,1
261,4.76,1
262,4.76,1
263,4.78,1
264,4.80,1
265,4.80,1
266,4.82,1
267,4.80,1
268,4.80,1
269,4.84,1
270,4.86,1
271,4.84,1
272,4.80,1
273,3.50,1
274,3.50,1
275,3.44,1
276,3.32,1
277,3.22,1
278,3.12,1
279,3.04,1
280,2.96,1
281,2.86,1
282,2.76,1
283,2.66,1
284,2.54,1
285,2.40,1
286,2.28,1
287,2.14,1
288,2.00,1
289,1.88,1
290,1.80,1
291,1.72,1
292,1.64,1
293,1.58,1
294,1.50,1
295,1.44,1
296,1.36,1
297,1.30,1
298,1.24,1
299,1.20,1
300,1.14,1
301,1.10,1
302,1.04,1
303,1.00,1
304,0.94,1
305,0.90,1
306,0.84,1
307,0.80,1
308,0.76,1
309,0.74,1
310,0.70,1
311,0.66,1
312,0.64,1
313,0.60,1
314,0.56,1
315,0.54,1
316,0.52,1
317,0.50,1
318,0.48,1
319,0.46,1
320,0.44,1
321,0.42,1
322,0.40,1
323,0.40,1
324,0.38,1
325,0.36,1
326,0.34,1
327,0.34,1
328,0.34,1
329,0.32,1
330,0.32,1
331,0.30,1
332,0.30,1
333,0.30,1
334,0.28,1
335,0.28,1
336,0.28,1
337,0.28,1
338,0.26,1
339,0.26,1
340,0.26,1
341,0.26,1
342,0.24,1
343,0.24,1
344,0.24,1
345,0.24,1
346,0.24,1
347,0.22,1
348,0.22,1
349,0.20,1
350,0.20,1
351,0.20,1
352,0.20,1
353,0.20,1
354,0.20,1
355,0.20,1
356,0.20,1
357,0.18,1
358,0.18,1
359,0.18,1
