distance_m,depth_m
0.0,5.033
2.0,4.978
4.0,4.922
6.0,4.867
8.0,4.811
10.0,4.770
12.0,4.735
14.0,4.695
16.0,4.648
18.0,4.594
20.0,4.536
22.0,4.483
24.0,4.435
26.0,4.393
28.0,4.357
30.0,4.306
32.0,4.261
34.0,4.221
36.0,4.188
38.0,4.158
40.0,4.118
42.0,4.069
44.0,4.013
46.0,3.958
48.0,3.903
50.0,3.847
52.0,3.792
54.0,3.736
56.0,3.676
58.0,3.569
60.0,3.444
62.0,3.320
64.0,3.195
66.0,3.070
68.0,2.945
70.0,2.820
72.0,2.703
74.0,2.592
76.0,2.487
78.0,2.377
80.0,2.266
82.0,2.155
84.0,2.044
86.0,1.949
88.0,1.894
90.0,1.838
92.0,1.783
94.0,1.727
96.0,1.667
98.0,1.591
100.0,1.504
102.0,1.414
104.0,1.324
106.0,1.244
108.0,1.174
110.0,1.105
112.0,1.035
114.0,0.973
116.0,0.931
118.0,0.896
120.0,0.861
122.0,0.827
124.0,0.792
126.0,0.740
128.0,0.685
130.0,0.629
132.0,0.574
134.0,0.519
136.0,0.463
138.0,0.408
140.0,0.352
142.0,0.296
144.0,0.249
146.0,0.242
148.0,0.241
150.0,0.245
152.0,0.255
154.0,0.252
156.0,0.209
158.0,0.146
160.0,0.078
162.0,0.005
164.0,-0.080
166.0,-0.170
168.0,-0.260
170.0,-0.350
172.0,-0.451
174.0,-0.575
176.0,-0.710
178.0,-0.851
180.0,-0.997
182.0,-1.150
184.0,-1.327
186.0,-1.505
188.0,-1.675
190.0,-1.839
192.0,-1.990
194.0,-2.053
196.0,-2.099
198.0,-2.127
200.0,-2.135
202.0,-2.142
204.0,-2.170
206.0,-2.205
208.0,-2.245
210.0,-2.291
212.0,-2.352
214.0,-2.432
216.0,-2.514
