period_s,freq_hz,near_from_deg,near_width_deg,off_from_deg,gain,diff_off_from_deg,diff_gain,friction,diff_friction,status,blocker,exit_depth_m,path_km
40.000,0.0250,104.31,0.5,33.07,0,33.07,0,0.88335,0.88335,land,Coronado shore or shoal,0.3,0.23
40.000,0.0250,104.81,0.5,31.01,0,31.01,0,0.87308,0.87308,land,Coronado shore or shoal,0.3,0.23
40.000,0.0250,105.31,0.5,29.18,0,29.18,0,0.86511,0.86511,land,Coronado shore or shoal,0.2,0.24
40.000,0.0250,105.81,0.5,31.04,0,31.04,0,0.88671,0.88671,land,Coronado shore or shoal,0.3,0.24
40.000,0.0250,106.31,0.5,32.09,0,32.09,0,0.88137,0.88137,land,Coronado shore or shoal,0.3,0.24
40.000,0.0250,106.81,0.5,33.46,0,33.46,0,0.87285,0.87285,land,Coronado shore or shoal,0.2,0.24
40.000,0.0250,107.31,0.5,34.21,0,34.21,0,0.86637,0.86637,land,Coronado shore or shoal,0.3,0.25
40.000,0.0250,107.81,0.5,34.24,0,34.24,0,0.85856,0.85856,land,Coronado shore or shoal,0.2,0.25
40.000,0.0250,108.31,0.5,36.44,0,36.44,0,0.87499,0.87499,land,Coronado shore or shoal,0.3,0.25
40.000,0.0250,108.81,0.5,36.18,0,36.18,0,0.86703,0.86703,land,Coronado shore or shoal,0.3,0.26
40.000,0.0250,109.31,0.5,35.40,0,35.40,0,0.85769,0.85769,land,Coronado shore or shoal,0.2,0.26
40.000,0.0250,109.81,0.5,36.66,0,36.66,0,0.87079,0.87079,land,Coronado shore or shoal,0.3,0.26
40.000,0.0250,110.31,0.5,34.74,0,34.74,0,0.85711,0.85711,land,Coronado shore or shoal,0.2,0.26
40.000,0.0250,110.81,0.5,34.96,0,34.96,0,0.86899,0.86899,land,Coronado shore or shoal,0.3,0.26
40.000,0.0250,111.31,0.5,32.64,0,32.64,0,0.85551,0.85551,land,Coronado shore or shoal,0.2,0.27
40.000,0.0250,111.81,0.5,32.71,0,32.71,0,0.87085,0.87085,land,Coronado shore or shoal,0.3,0.27
40.000,0.0250,112.31,0.5,31.12,0,31.12,0,0.86155,0.86155,land,Coronado shore or shoal,0.3,0.27
40.000,0.0250,112.81,0.5,32.02,0,32.02,0,0.87680,0.87680,land,Coronado shore or shoal,0.3,0.27
40.000,0.0250,113.31,0.5,31.69,0,31.69,0,0.86693,0.86693,land,Coronado shore or shoal,0.3,0.28
40.000,0.0250,113.81,0.5,31.63,0,31.63,0,0.85449,0.85449,land,Coronado shore or shoal,0.2,0.28
40.000,0.0250,114.31,0.5,33.67,0,33.67,0,0.86774,0.86774,land,Coronado shore or shoal,0.3,0.28
40.000,0.0250,114.81,0.5,33.60,0,33.60,0,0.85642,0.85642,land,Coronado shore or shoal,0.2,0.28
40.000,0.0250,115.31,0.5,35.79,0,35.79,0,0.87134,0.87134,land,Coronado shore or shoal,0.3,0.28
40.000,0.0250,115.81,0.5,35.27,0,35.27,0,0.86227,0.86227,land,Coronado shore or shoal,0.3,0.29
40.000,0.0250,116.31,0.5,34.06,0,34.06,0,0.84817,0.84817,land,Coronado shore or shoal,0.2,0.29
40.000,0.0250,116.81,0.5,34.94,0,34.94,0,0.86127,0.86127,land,Coronado shore or shoal,0.3,0.29
40.000,0.0250,117.31,0.5,32.89,0,32.89,0,0.84846,0.84846,land,Coronado shore or shoal,0.2,0.30
40.000,0.0250,117.81,0.5,33.09,0,33.09,0,0.86477,0.86477,land,Coronado shore or shoal,0.3,0.30
40.000,0.0250,118.31,0.5,31.54,0,31.54,0,0.85499,0.85499,land,Coronado shore or shoal,0.3,0.30
40.000,0.0250,118.81,0.5,32.71,0,32.71,0,0.87101,0.87101,land,Coronado shore or shoal,0.3,0.30
40.000,0.0250,119.31,0.5,33.03,0,33.03,0,0.86251,0.86251,land,Coronado shore or shoal,0.3,0.30
40.000,0.0250,119.81,0.5,34.04,0,34.04,0,0.85291,0.85291,land,Coronado shore or shoal,0.2,0.31
40.000,0.0250,120.31,0.5,35.92,0,35.92,0,0.86814,0.86814,land,Coronado shore or shoal,0.3,0.31
40.000,0.0250,120.81,0.5,34.79,0,34.79,0,0.85721,0.85721,land,Coronado shore or shoal,0.2,0.31
40.000,0.0250,121.31,0.5,34.71,0,34.71,0,0.87428,0.87428,land,Coronado shore or shoal,0.3,0.31
40.000,0.0250,121.81,0.5,32.80,0,32.80,0,0.86512,0.86512,land,Coronado shore or shoal,0.3,0.32
40.000,0.0250,122.31,0.5,31.67,0,31.67,0,0.86042,0.86042,land,Coronado shore or shoal,0.2,0.32
40.000,0.0250,122.81,0.5,31.81,0,31.81,0,0.85765,0.85765,land,Coronado shore or shoal,0.2,0.32
40.000,0.0250,123.31,0.5,33.05,0,33.05,0,0.85328,0.85328,land,Coronado shore or shoal,0.2,0.33
40.000,0.0250,123.81,0.5,36.73,0,36.73,0,0.87067,0.87067,land,Coronado shore or shoal,0.3,0.33
40.000,0.0250,124.31,0.5,37.15,0,37.15,0,0.86314,0.86314,land,Coronado shore or shoal,0.3,0.33
40.000,0.0250,124.81,0.5,36.99,0,36.99,0,0.85649,0.85649,land,Coronado shore or shoal,0.2,0.34
40.000,0.0250,125.31,0.5,35.22,0,35.22,0,0.85167,0.85167,land,Coronado shore or shoal,0.2,0.34
40.000,0.0250,125.81,0.5,32.43,0,32.43,0,0.85212,0.85212,land,Coronado shore or shoal,0.2,0.34
40.000,0.0250,126.31,0.5,31.92,0,31.92,0,0.86040,0.86040,land,Coronado shore or shoal,0.3,0.35
40.000,0.0250,126.81,0.5,33.91,0,33.91,0,0.86622,0.86622,land,Coronado shore or shoal,0.3,0.35
40.000,0.0250,127.31,0.5,35.84,0,35.84,0,0.87236,0.87236,land,Coronado shore or shoal,0.3,0.36
40.000,0.0250,127.81,0.5,35.46,0,35.46,0,0.85722,0.85722,land,Coronado shore or shoal,0.2,0.36
