wind_from_deg,fetch_km,closed
0,0.12,1
1,0.12,1
2,0.12,1
3,0.12,1
4,0.12,1
5,0.12,1
6,0.12,1
7,0.12,1
8,0.12,1
9,0.12,1
10,0.12,1
11,0.12,1
12,0.12,1
13,0.12,1
14,0.12,1
15,0.12,1
16,0.12,1
17,0.12,1
18,0.12,1
19,0.12,1
20,0.12,1
21,0.12,1
22,0.12,1
23,0.12,1
24,0.12,1
25,0.12,1
26,0.12,1
27,0.12,1
28,0.12,1
29,0.12,1
30,0.12,1
31,0.12,1
32,0.12,1
33,0.12,1
34,0.12,1
35,0.12,1
36,0.14,1
37,0.14,1
38,0.14,1
39,0.14,1
40,0.14,1
41,0.14,1
42,0.14,1
43,0.14,1
44,0.14,1
45,0.14,1
46,0.14,1
47,0.14,1
48,0.14,1
49,0.14,1
50,0.14,1
51,0.14,1
52,0.14,1
53,0.16,1
54,0.16,1
55,0.16,1
56,0.16,1
57,0.16,1
58,0.16,1
59,0.16,1
60,0.16,1
61,0.18,1
62,0.18,1
63,0.18,1
64,0.18,1
65,0.18,1
66,0.18,1
67,0.18,1
68,0.20,1
69,0.20,1
70,0.20,1
71,0.20,1
72,0.20,1
73,0.22,1
74,0.22,1
75,0.22,1
76,0.24,1
77,0.24,1
78,0.24,1
79,0.26,1
80,0.26,1
81,0.26,1
82,0.28,1
83,0.28,1
84,0.30,1
85,0.30,1
86,0.32,1
87,0.32,1
88,0.34,1
89,0.36,1
90,0.36,1
91,0.38,1
92,0.40,1
93,0.42,1
94,0.44,1
95,0.46,1
96,0.48,1
97,0.50,1
98,0.54,1
99,0.56,1
100,0.60,1
101,0.62,1
102,0.66,1
103,0.72,1
104,0.78,1
105,0.82,1
106,0.84,1
107,0.90,1
108,0.96,1
109,1.00,1
110,1.08,1
111,1.14,1
112,1.28,1
113,1.36,1
114,1.46,1
115,1.56,1
116,1.72,1
117,1.88,1
118,2.02,1
119,2.16,1
120,2.36,1
121,2.58,1
122,2.80,1
123,3.04,1
124,3.26,1
125,3.48,1
126,3.72,1
127,3.98,1
128,4.22,1
129,4.44,1
130,4.68,1
131,4.90,1
132,5.14,1
133,5.38,1
134,5.70,1
135,6.00,1
136,6.30,1
137,6.60,1
138,6.96,1
139,7.38,1
140,7.78,1
141,8.16,1
142,8.54,1
143,8.92,1
144,9.30,1
145,9.70,1
146,10.08,1
147,10.46,1
148,10.84,1
149,11.22,1
150,11.62,1
151,12.00,1
152,12.38,1
153,12.78,1
154,13.26,1
155,13.76,1
156,14.26,1
157,16.48,1
158,17.66,1
159,18.08,1
160,18.86,1
161,19.72,1
162,21.22,1
163,22.38,1
164,50.26,0
165,50.02,0
166,49.80,0
167,49.58,0
168,49.40,0
169,49.22,0
170,49.06,0
171,48.92,0
172,48.78,0
173,48.68,0
174,48.58,0
175,48.50,0
176,48.44,0
177,48.38,0
178,48.34,0
179,48.32,0
180,48.32,0
181,48.32,0
182,48.34,0
183,48.38,0
184,48.44,0
185,48.50,0
186,48.58,0
187,48.68,0
188,31.52,1
189,30.32,1
190,49.06,0
191,49.22,0
192,49.40,0
193,49.58,0
194,49.80,0
195,50.02,0
196,50.26,0
197,50.52,0
198,50.80,0
199,51.10,0
200,51.42,0
201,51.74,0
202,52.10,0
203,52.48,0
204,52.88,0
205,53.30,0
206,53.76,0
207,54.22,0
208,54.72,0
209,55.24,0
210,55.78,0
211,56.36,0
212,56.96,0
213,57.60,0
214,58.28,0
215,58.98,0
216,59.72,0
217,60.50,0
218,59.40,0
219,58.10,0
220,56.90,0
221,55.74,0
222,54.66,0
223,53.62,0
224,52.64,0
225,51.72,0
226,50.84,0
227,50.00,0
228,49.22,0
229,48.46,0
230,47.74,0
231,47.06,0
232,46.40,0
233,45.80,0
234,45.20,0
235,44.64,0
236,44.12,0
237,43.60,0
238,43.12,0
239,42.66,0
240,42.22,0
241,41.82,0
242,41.42,0
243,4.60,1
244,4.42,1
245,4.32,1
246,4.28,1
247,4.28,1
248,4.18,1
249,4.10,1
250,4.08,1
251,4.08,1
252,4.08,1
253,4.06,1
254,4.04,1
255,4.04,1
256,4.04,1
257,4.04,1
258,4.04,1
259,4.06,1
260,4.04,1
261,4.02,1
262,4.02,1
263,4.04,1
264,4.06,1
265,4.02,1
266,2.66,1
267,2.64,1
268,2.50,1
269,2.40,1
270,2.30,1
271,2.22,1
272,2.12,1
273,2.04,1
274,1.94,1
275,1.86,1
276,1.74,1
277,1.60,1
278,1.46,1
279,1.34,1
280,1.18,1
281,1.00,1
282,0.94,1
283,0.88,1
284,0.80,1
285,0.76,1
286,0.68,1
287,0.68,1
288,0.64,1
289,0.58,1
290,0.56,1
291,0.52,1
292,0.48,1
293,0.46,1
294,0.44,1
295,0.42,1
296,0.40,1
297,0.38,1
298,0.36,1
299,0.36,1
300,0.34,1
301,0.34,1
302,0.32,1
303,0.30,1
304,0.30,1
305,0.28,1
306,0.28,1
307,0.28,1
308,0.26,1
309,0.26,1
310,0.24,1
311,0.24,1
312,0.24,1
313,0.22,1
314,0.22,1
315,0.22,1
316,0.22,1
317,0.20,1
318,0.20,1
319,0.20,1
320,0.20,1
321,0.20,1
322,0.18,1
323,0.18,1
324,0.18,1
325,0.18,1
326,0.18,1
327,0.18,1
328,0.16,1
329,0.16,1
330,0.16,1
331,0.16,1
332,0.16,1
333,0.16,1
334,0.16,1
335,0.16,1
336,0.16,1
337,0.16,1
338,0.16,1
339,0.14,1
340,0.14,1
341,0.14,1
342,0.14,1
343,0.14,1
344,0.14,1
345,0.14,1
346,0.14,1
347,0.14,1
348,0.14,1
349,0.14,1
350,0.14,1
351,0.14,1
352,0.14,1
353,0.14,1
354,0.14,1
355,0.14,1
356,0.14,1
357,0.12,1
358,0.12,1
359,0.12,1
