distance_m,depth_m
0.0,5.049
2.0,4.971
4.0,4.892
6.0,4.813
8.0,4.734
10.0,4.655
12.0,4.576
14.0,4.498
16.0,4.419
18.0,4.340
20.0,4.260
22.0,4.157
24.0,4.054
26.0,3.951
28.0,3.848
30.0,3.767
32.0,3.688
34.0,3.609
36.0,3.531
38.0,3.414
40.0,3.287
42.0,3.159
44.0,3.032
46.0,2.936
48.0,2.858
50.0,2.779
52.0,2.700
54.0,2.609
56.0,2.509
58.0,2.413
60.0,2.319
62.0,2.242
64.0,2.185
66.0,2.124
68.0,2.060
70.0,1.994
72.0,1.930
74.0,1.869
76.0,1.811
78.0,1.750
80.0,1.657
82.0,1.560
84.0,1.461
86.0,1.360
88.0,1.279
90.0,1.195
92.0,1.108
94.0,1.019
96.0,0.925
98.0,0.838
100.0,0.756
102.0,0.680
104.0,0.616
106.0,0.551
108.0,0.483
110.0,0.412
112.0,0.351
114.0,0.297
116.0,0.242
118.0,0.188
120.0,0.151
122.0,0.123
124.0,0.092
126.0,0.059
128.0,0.018
130.0,-0.027
132.0,-0.070
134.0,-0.109
136.0,-0.153
138.0,-0.217
140.0,-0.283
142.0,-0.353
144.0,-0.426
146.0,-0.505
148.0,-0.584
150.0,-0.663
152.0,-0.743
154.0,-0.846
156.0,-0.949
158.0,-1.052
160.0,-1.155
162.0,-1.273
164.0,-1.390
166.0,-1.503
168.0,-1.614
170.0,-1.702
172.0,-1.782
174.0,-1.860
176.0,-1.934
178.0,-2.013
180.0,-2.100
182.0,-2.193
184.0,-2.292
186.0,-2.335
188.0,-2.335
190.0,-2.335
192.0,-2.335
194.0,-2.324
196.0,-2.300
198.0,-2.276
200.0,-2.252
202.0,-2.227
204.0,-2.203
206.0,-2.179
208.0,-2.155
210.0,-2.131
212.0,-2.111
214.0,-2.087
216.0,-2.060
218.0,-2.035
220.0,-2.033
222.0,-2.027
224.0,-2.019
226.0,-2.008
228.0,-2.093
230.0,-2.192
232.0,-2.301
234.0,-2.418
236.0,-2.626
