period_s,freq_hz,near_from_deg,near_width_deg,off_from_deg,gain,diff_off_from_deg,diff_gain,status,blocker,exit_depth_m,path_km
40.000,0.0250,131.15,0.5,54.58,0,54.58,0,land,Coronado shore or shoal,0.3,0.42
40.000,0.0250,131.65,0.5,54.46,0,54.46,0,land,Coronado shore or shoal,0.3,0.42
40.000,0.0250,132.15,0.5,53.18,0,53.18,0,land,Coronado shore or shoal,0.2,0.42
40.000,0.0250,132.65,0.5,53.24,0,53.24,0,land,Coronado shore or shoal,0.3,0.42
40.000,0.0250,133.15,0.5,53.28,0,53.28,0,land,Coronado shore or shoal,0.3,0.42
40.000,0.0250,133.65,0.5,53.49,0,53.49,0,land,Coronado shore or shoal,0.3,0.42
40.000,0.0250,134.15,0.5,52.66,0,52.66,0,land,Coronado shore or shoal,0.2,0.42
40.000,0.0250,134.65,0.5,53.42,0,53.42,0,land,Coronado shore or shoal,0.3,0.42
40.000,0.0250,135.15,0.5,54.84,0,54.84,0,land,Coronado shore or shoal,0.3,0.42
40.000,0.0250,135.65,0.5,55.80,0,55.80,0,land,Coronado shore or shoal,0.3,0.43
40.000,0.0250,136.15,0.5,56.41,0,56.41,0,land,Coronado shore or shoal,0.2,0.43
40.000,0.0250,136.65,0.5,58.62,0,58.62,0,land,Coronado shore or shoal,0.3,0.43
40.000,0.0250,137.15,0.5,59.13,0,59.13,0,land,Coronado shore or shoal,0.3,0.44
40.000,0.0250,137.65,0.5,59.35,0,59.35,0,land,Coronado shore or shoal,0.3,0.44
40.000,0.0250,138.15,0.5,59.00,0,59.00,0,land,Coronado shore or shoal,0.3,0.44
40.000,0.0250,138.65,0.5,58.43,0,58.43,0,land,Coronado shore or shoal,0.2,0.45
40.000,0.0250,139.15,0.5,59.45,0,59.45,0,land,Coronado shore or shoal,0.3,0.45
40.000,0.0250,139.65,0.5,57.59,0,57.59,0,land,Coronado shore or shoal,0.3,0.45
40.000,0.0250,140.15,0.5,54.84,0,54.84,0,land,Coronado shore or shoal,0.3,0.46
40.000,0.0250,140.65,0.5,52.62,0,52.62,0,land,Coronado shore or shoal,0.3,0.46
40.000,0.0250,141.15,0.5,52.77,0,52.77,0,land,Coronado shore or shoal,0.3,0.46
