wind_from_deg,fetch_km,closed
0,0.26,1
1,0.26,1
2,0.26,1
3,0.26,1
4,0.26,1
5,0.26,1
6,0.26,1
7,0.24,1
8,0.24,1
9,0.24,1
10,0.24,1
11,0.24,1
12,0.24,1
13,0.24,1
14,0.24,1
15,0.22,1
16,0.22,1
17,0.22,1
18,0.22,1
19,0.22,1
20,0.22,1
21,0.22,1
22,0.22,1
23,0.22,1
24,0.22,1
25,0.22,1
26,0.22,1
27,0.20,1
28,0.22,1
29,0.22,1
30,0.22,1
31,0.22,1
32,0.22,1
33,0.20,1
34,0.20,1
35,0.20,1
36,0.20,1
37,0.20,1
38,0.20,1
39,0.20,1
40,0.20,1
41,0.20,1
42,0.20,1
43,0.20,1
44,0.20,1
45,0.20,1
46,0.20,1
47,0.20,1
48,0.22,1
49,0.22,1
50,0.22,1
51,0.22,1
52,0.22,1
53,0.22,1
54,0.22,1
55,0.22,1
56,0.22,1
57,0.22,1
58,0.22,1
59,0.22,1
60,0.22,1
61,0.22,1
62,0.22,1
63,0.22,1
64,0.22,1
65,0.22,1
66,0.24,1
67,0.24,1
68,0.24,1
69,0.24,1
70,0.24,1
71,0.24,1
72,0.24,1
73,0.24,1
74,0.24,1
75,0.24,1
76,0.26,1
77,0.26,1
78,0.26,1
79,0.26,1
80,0.26,1
81,0.26,1
82,0.26,1
83,0.28,1
84,0.28,1
85,0.28,1
86,0.30,1
87,0.30,1
88,0.30,1
89,0.30,1
90,0.30,1
91,0.32,1
92,0.32,1
93,0.32,1
94,0.34,1
95,0.34,1
96,0.36,1
97,0.36,1
98,0.38,1
99,0.38,1
100,0.38,1
101,0.40,1
102,0.40,1
103,0.42,1
104,0.44,1
105,0.44,1
106,0.46,1
107,0.48,1
108,0.48,1
109,0.52,1
110,0.54,1
111,0.56,1
112,0.58,1
113,0.60,1
114,0.64,1
115,0.66,1
116,0.70,1
117,0.74,1
118,0.80,1
119,0.82,1
120,0.88,1
121,0.94,1
122,0.98,1
123,1.06,1
124,1.12,1
125,1.20,1
126,1.30,1
127,1.40,1
128,1.50,1
129,1.62,1
130,1.76,1
131,1.90,1
132,2.04,1
133,2.20,1
134,2.36,1
135,2.52,1
136,2.68,1
137,2.84,1
138,3.06,1
139,3.28,1
140,3.58,1
141,3.86,1
142,4.16,1
143,4.44,1
