distance_m,depth_m
0.0,5.025
2.0,4.964
4.0,4.910
6.0,4.856
8.0,4.802
10.0,4.748
12.0,4.694
14.0,4.636
16.0,4.580
18.0,4.530
20.0,4.493
22.0,4.457
24.0,4.422
26.0,4.387
28.0,4.352
30.0,4.316
32.0,4.281
34.0,4.246
36.0,4.210
38.0,4.175
40.0,4.135
42.0,4.081
44.0,4.027
46.0,3.973
48.0,3.919
50.0,3.865
52.0,3.828
54.0,3.793
56.0,3.758
58.0,3.723
60.0,3.687
62.0,3.640
64.0,3.585
66.0,3.531
68.0,3.477
70.0,3.423
72.0,3.377
74.0,3.341
76.0,3.305
78.0,3.270
80.0,3.235
82.0,3.200
84.0,3.168
86.0,3.130
88.0,3.086
90.0,3.035
92.0,2.979
94.0,2.901
96.0,2.813
98.0,2.719
100.0,2.627
102.0,2.538
104.0,2.462
106.0,2.404
108.0,2.353
110.0,2.308
112.0,2.262
114.0,2.202
116.0,2.112
118.0,2.023
120.0,1.933
122.0,1.844
124.0,1.754
126.0,1.682
128.0,1.612
130.0,1.541
132.0,1.471
134.0,1.400
136.0,1.347
138.0,1.312
140.0,1.277
142.0,1.241
144.0,1.206
146.0,1.171
148.0,1.135
150.0,1.091
152.0,1.042
154.0,0.986
156.0,0.925
158.0,0.870
160.0,0.825
162.0,0.800
164.0,0.780
166.0,0.767
168.0,0.751
170.0,0.732
172.0,0.712
174.0,0.677
176.0,0.642
178.0,0.607
180.0,0.571
182.0,0.536
184.0,0.501
186.0,0.466
188.0,0.430
190.0,0.395
192.0,0.360
194.0,0.325
196.0,0.289
198.0,0.254
200.0,0.219
202.0,0.183
204.0,0.148
206.0,0.113
208.0,0.078
210.0,0.020
212.0,-0.051
214.0,-0.121
216.0,-0.192
218.0,-0.262
220.0,-0.338
222.0,-0.427
224.0,-0.517
226.0,-0.606
228.0,-0.696
230.0,-0.785
232.0,-0.892
234.0,-1.010
236.0,-1.134
238.0,-1.259
240.0,-1.384
242.0,-1.509
244.0,-1.633
246.0,-1.751
248.0,-1.851
250.0,-1.938
252.0,-2.014
254.0,-2.098
256.0,-2.194
258.0,-2.294
260.0,-2.371
262.0,-2.443
264.0,-2.508
