timestamp_utc,field,old_value,new_value,observed_at_utc
2026-09-15T12:10:00Z,wvht,,1.3,2026-09-15T17:45:18Z
2026-09-15T12:10:00Z,apd,,5.0,2026-09-15T17:45:18Z
2026-09-15T12:10:00Z,mwd,,58,2026-09-15T17:45:18Z
2026-09-16T17:10:00Z,wvht,,1.6,2026-09-16T22:17:08Z
2026-09-16T17:10:00Z,apd,,5.4,2026-09-16T22:17:08Z
2026-09-16T17:10:00Z,mwd,,72,2026-09-16T22:17:08Z
2026-09-17T12:10:00Z,wvht,,1.7,2026-09-17T17:43:47Z
2026-09-17T12:10:00Z,apd,,6.0,2026-09-17T17:43:47Z
2026-09-17T12:10:00Z,mwd,,92,2026-09-17T17:43:47Z
2026-09-18T11:50:00Z,wdir,80,90,2026-09-18T17:10:47Z
2026-09-18T11:50:00Z,dpd,9,,2026-09-18T17:10:47Z
2026-09-18T11:50:00Z,atmp,28.0,,2026-09-18T17:10:47Z
2026-09-18T11:50:00Z,wtmp,,28.2,2026-09-18T17:10:47Z
2026-09-18T11:50:00Z,dewp,25.8,,2026-09-18T17:10:47Z
