cycle_utc,valid_utc,lead_h,hs_total_m,n_fields,n_omitted,part_rank,part_hs_m,part_tp_s,part_from_deg,wind_sea
2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,0,1.04,4,0,0,0.78,11.8,275,0
2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,0,1.04,4,0,1,0.47,13.9,199,0
2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,0,1.04,4,0,2,0.45,15.1,286,0
2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,0,1.04,4,0,3,0.19,11.1,186,0
2023-01-01T00:00:00Z,2023-01-02T00:00:00Z,24,3.43,3,0,0,3.34,8.7,279,1
2023-01-01T00:00:00Z,2023-01-02T00:00:00Z,24,3.43,3,0,1,0.64,14.3,285,0
2023-01-01T00:00:00Z,2023-01-02T00:00:00Z,24,3.43,3,0,2,0.40,13.0,200,0
2023-01-01T00:00:00Z,2023-01-03T00:00:00Z,48,1.54,2,0,0,1.50,14.5,273,0
2023-01-01T00:00:00Z,2023-01-03T00:00:00Z,48,1.54,2,0,1,0.34,12.5,199,0
2023-01-01T00:00:00Z,2023-01-04T00:00:00Z,72,1.61,3,0,0,1.25,6.8,244,0
2023-01-01T00:00:00Z,2023-01-04T00:00:00Z,72,1.61,3,0,1,0.94,15.4,285,0
2023-01-01T00:00:00Z,2023-01-04T00:00:00Z,72,1.61,3,0,2,0.31,11.9,199,0
2023-01-01T00:00:00Z,2023-01-05T00:00:00Z,96,1.18,4,0,0,1.00,14.1,270,0
2023-01-01T00:00:00Z,2023-01-05T00:00:00Z,96,1.18,4,0,1,0.49,16.9,283,0
2023-01-01T00:00:00Z,2023-01-05T00:00:00Z,96,1.18,4,0,2,0.34,11.3,200,0
2023-01-01T00:00:00Z,2023-01-05T00:00:00Z,96,1.18,4,0,3,0.18,19.2,219,0
2023-01-01T00:00:00Z,2023-01-06T00:00:00Z,120,2.03,4,0,0,1.77,12.1,248,0
2023-01-01T00:00:00Z,2023-01-06T00:00:00Z,120,2.03,4,0,1,0.92,19.0,281,0
2023-01-01T00:00:00Z,2023-01-06T00:00:00Z,120,2.03,4,0,2,0.31,14.1,192,0
2023-01-01T00:00:00Z,2023-01-06T00:00:00Z,120,2.03,4,0,3,0.25,17.8,213,0
2023-01-01T00:00:00Z,2023-01-07T00:00:00Z,144,2.45,2,0,0,2.42,15.6,274,0
2023-01-01T00:00:00Z,2023-01-07T00:00:00Z,144,2.45,2,0,1,0.39,16.6,203,0
